image,x,y
003_0.jpg,1686.7399,856.77136
003_0.jpg,738.84766,942.51306
003_0.jpg,817.5185,941.5204
003_0.jpg,895.2624,940.60315
003_0.jpg,971.98236,939.68494
003_0.jpg,1047.8191,938.79663
003_0.jpg,1122.7938,937.976
003_0.jpg,1196.8468,937.1195
003_0.jpg,1269.8956,936.3359
003_0.jpg,1342.1608,935.4957
003_0.jpg,1413.4857,934.66583
003_0.jpg,1483.9323,933.9695
003_0.jpg,1553.5605,933.1902
003_0.jpg,1622.226,932.47186
003_0.jpg,1690.1318,931.7525
003_0.jpg,741.65564,1023.7677
003_0.jpg,820.32666,1022.28156
003_0.jpg,898.084,1020.89
003_0.jpg,974.89307,1019.4592
003_0.jpg,1050.8069,1018.0834
003_0.jpg,1125.8029,1016.77386
003_0.jpg,1199.8634,1015.4305
003_0.jpg,1273.0219,1014.17334
003_0.jpg,1345.2936,1012.8502
003_0.jpg,1416.676,1011.53424
003_0.jpg,1487.161,1010.3731
003_0.jpg,1556.7898,1009.1157
003_0.jpg,1625.6864,1007.9955
003_0.jpg,1693.4916,1006.81476
003_0.jpg,744.4923,1105.0892
003_0.jpg,823.2038,1103.1184
003_0.jpg,901.00146,1101.2197
003_0.jpg,977.8526,1099.2537
003_0.jpg,1053.8168,1097.4044
003_0.jpg,1128.8683,1095.6022
003_0.jpg,1202.9753,1093.7639
003_0.jpg,1276.1506,1091.9849
003_0.jpg,1348.4753,1090.1908
003_0.jpg,1419.895,1088.425
003_0.jpg,1490.4086,1086.779
003_0.jpg,1560.059,1085.0897
003_0.jpg,1628.8551,1083.5055
003_0.jpg,1696.6831,1081.9423
003_0.jpg,747.1646,1186.6029
003_0.jpg,826.0455,1184.1157
003_0.jpg,903.8525,1181.6823
003_0.jpg,980.75946,1179.2147
003_0.jpg,1056.6813,1176.847
003_0.jpg,1131.5566,1174.5288
003_0.jpg,1206.0186,1172.1833
003_0.jpg,1279.192,1169.9327
003_0.jpg,1351.5431,1167.669
003_0.jpg,1423.0184,1165.4077
003_0.jpg,1493.5658,1163.3479
